,G,A,B,C,D,E
SSPC_RMSD,7.35,7.97,6.48,7.38,7.37,7.49
Biga_RMSD,13.51,15.15,13.9,11.31,11.96,17.62
DPP_RMSD,46.82,34.2,41.28,45.48,52.16,66.55
Mghouchi_RMSD,48.91,36.41,42.81,47.85,54.71,68.06
ESRA_RMSD,9.09,7.99,8.04,8.54,9.21,12.75
FR1999_RMSD,61.72,49.42,57.95,60.03,66.78,80.2
HLJ_RMSD,52.36,50.23,34.59,56.3,55.22,62.62
Hourwitz_RMSD,28.1,41.09,23.58,27.5,25.75,21.01
I&P_RMSD,1.75,1.27,1.3,1.64,1.66,3.16
Kasten_RMSD,9.76,7.22,8.42,9.33,10.38,14.71
L1970_RMSD,11.36,13.79,10.73,8.81,9.82,16.48
M1976_RMSD,13.38,13.09,13.47,10.29,12.36,21.78
SP1965_RMSD,13.17,13.36,13.33,10.13,11.97,20.94
S1994_RMSD,14.41,13.1,14.25,11.15,13.57,24.55
